Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 50.85      8.10     8.10 148617408     0.00     0.00  PQCLEAN_FALCON512_CLEAN_fpr_add
 15.94     10.64     2.54 297469268     0.00     0.00  FPR
 14.69     12.98     2.34 133996352     0.00     0.00  PQCLEAN_FALCON512_CLEAN_fpr_mul
  2.70     13.41     0.43 148617408     0.00     0.00  fpr_ulsh
  2.32     13.78     0.37 12038741     0.00     0.00  PQCLEAN_FALCON512_CLEAN_fpr_scaled
  2.07     14.11     0.33 152173614     0.00     0.00  fpr_ursh
  1.69     14.38     0.27  2304767     0.00     0.00  PQCLEAN_FALCON512_CLEAN_fpr_div
  1.32     14.59     0.21  1778103     0.00     0.00  PQCLEAN_FALCON512_CLEAN_fpr_expm_p63
  1.19     14.78     0.19    39129     0.00     0.00  PQCLEAN_FALCON512_CLEAN_prng_refill
  0.94     14.93     0.15 21009664     0.00     0.00  mq_montymul
  0.94     15.08     0.15   512000     0.00     0.00  PQCLEAN_FALCON512_CLEAN_fpr_sqrt
  0.91     15.22     0.14 70463848     0.00     0.00  fpr_sub
  0.47     15.30     0.07  1778103     0.00     0.00  PQCLEAN_FALCON512_CLEAN_gaussian0_sampler
  0.44     15.37     0.07     9597     0.00     0.00  PQCLEAN_FALCON512_CLEAN_FFT
  0.38     15.43     0.06  9222912     0.00     0.00  mq_add
  0.38     15.49     0.06  2044000     0.00     0.00  PQCLEAN_FALCON512_CLEAN_poly_split_fft
  0.38     15.55     0.06   511000     0.00     0.00  PQCLEAN_FALCON512_CLEAN_poly_LDL_fft
  0.31     15.60     0.05  3556206     0.00     0.00  fpr_trunc
  0.25     15.64     0.04 16384000     0.00     0.00  fpr_half
  0.22     15.68     0.04 14081368     0.00     0.00  fpr_neg
  0.16     15.70     0.03  1778103     0.00     0.00  BerExp
  0.13     15.72     0.02  2802103     0.00     0.00  fpr_ursh
  0.13     15.74     0.02  1778103     0.00     0.00  prng_get_u64
  0.13     15.76     0.02  1022000     0.00     0.00  PQCLEAN_FALCON512_CLEAN_poly_merge_fft
  0.13     15.78     0.02   517576     0.00     0.00  PQCLEAN_FALCON512_CLEAN_poly_mul_fft
  0.13     15.80     0.02     1000     0.00     0.00  PQCLEAN_FALCON512_CLEAN_hash_to_point_ct
  0.13     15.82     0.02     1000     0.00     0.01  ffSampling_fft_dyntree
  0.06     15.83     0.01  9222912     0.00     0.00  mq_sub
  0.06     15.84     0.01  6658044     0.00     0.00  fpr_sqr
  0.06     15.85     0.01  6358309     0.00     0.00  fpr_sub
  0.06     15.86     0.01  2802103     0.00     0.00  fpr_sqr
  0.06     15.87     0.01  1024000     0.00     0.00  PQCLEAN_FALCON512_CLEAN_sampler
  0.06     15.88     0.01  1024000     0.00     0.00  fpr_floor
  0.06     15.89     0.01   975905     0.00     0.00  modp_montymul
